id,title,Cenlocation,location,bedroom,bathroom,size,price,image
1,Sea Breeze Condo,กรุงเทพมหานคร,สุขุมวิท 71 ใกล้ BTS พระโขนง,2,2,65,2500,"https://example.com/sea-breeze.jpg"
2,Garden View Suite,กรุงเทพมหานคร,อโศก ใกล้ MRT พระราม 9,1,1,40,1800,"https://example.com/garden-view.jpg"
3,Sunset Beachfront,กรุงเทพมหานคร,ลาดพร้าว ใกล้ MRT ลาดพร้าว,3,2,90,3200,"https://example.com/sunset-beach.jpg"
4,Sunset Beachfront,กรุงเทพมหานคร,ลาดพร้าว ใกล้ MRT ลาดพร้าว,3,2,90,3200,"https://example.com/sunset-beach.jpg"
5,คอนโดโนเบิ้ลโครงการ2 รัชดา,,,,,,,,,,,,
6,โนเบิ้ลรีโวฟ 2รัชดา  26ตรว ,,,,,,,,,,,,
7,โนเบิ้ล งามวงศ์วาน,,,,,,,,,,,,
8,เซียล่า ศรีปทุม (CIELA Sripatum),,,,,,,,,,,,,
9,ลุมพินี วิลล์ พระนั่งเกล้า-ริเวอร์วิว,,,,,,,,,,,,
10,เดอะทรีสุขุมวิท71-เอกมัย,,,,,,,,,,,,
11,เซียล่า1,,,,,,,,,,,,
12,เซียล่า2,,,,,,,,,,,,
13,โคปาคาบาน่า,,,,,,,,,,,,
14,คอนโดอารมณ์ พัทยา 808,,,,,,,,,,,,
15,AROM JOMTIEN,,,,,,,,,,,,
16,ซีเคร็ดกาเด้น พัทยาเหนือ,,,,,,,,,,,,
17,แอมบาสซี่ จอมเทียนพัทยาสาย2,,,,,,,,,,,,
18,โนเบิ้ลพระราม9
